NAME                                                                          VERSION                                              TYPE         
@gar/promisify                                                                1.1.2                                                npm           
@isaacs/string-locale-compare                                                 1.1.0                                                npm           
@npmcli/arborist                                                              4.0.1                                                npm           
@npmcli/ci-detect                                                             1.4.0                                                npm           
@npmcli/config                                                                2.3.0                                                npm           
@npmcli/disparity-colors                                                      1.0.1                                                npm           
@npmcli/fs                                                                    1.0.0                                                npm           
@npmcli/git                                                                   2.1.0                                                npm           
@npmcli/installed-package-contents                                            1.0.7                                                npm           
@npmcli/map-workspaces                                                        2.0.0                                                npm           
@npmcli/metavuln-calculator                                                   2.0.0                                                npm           
@npmcli/move-file                                                             1.1.2                                                npm           
@npmcli/name-from-folder                                                      1.0.1                                                npm           
@npmcli/node-gyp                                                              1.0.2                                                npm           
@npmcli/package-json                                                          1.0.1                                                npm           
@npmcli/promise-spawn                                                         1.3.2                                                npm           
@npmcli/run-script                                                            2.0.0                                                npm           
@tootallnate/once                                                             1.1.2                                                npm           
@types/node                                                                   12.20.42                                             npm           
CacheControl                                                                  0.12.11                                              python        
JSONStream                                                                    1.3.5                                                npm           
PyGObject                                                                     3.42.1                                               python        
PyJWT                                                                         2.3.0                                                python        
SecretStorage                                                                 3.3.1                                                python        
SecretStorage                                                                 3.3.3                                                python        
abbrev                                                                        1.1.1                                                npm           
adduser                                                                       3.118ubuntu5                                         deb           
agent-base                                                                    4.2.1                                                npm           
agent-base                                                                    4.3.0                                                npm           
agent-base                                                                    6.0.2                                                npm           
agentkeepalive                                                                3.5.2                                                npm           
agentkeepalive                                                                4.1.4                                                npm           
aggregate-error                                                               3.1.0                                                npm           
ajv                                                                           6.12.6                                               npm           
ansi-align                                                                    2.0.0                                                npm           
ansi-regex                                                                    2.1.1                                                npm           
ansi-regex                                                                    3.0.0                                                npm           
ansi-regex                                                                    4.1.0                                                npm           
ansi-regex                                                                    5.0.0                                                npm           
ansi-regex                                                                    5.0.1                                                npm           
ansi-styles                                                                   3.2.1                                                npm           
ansi-styles                                                                   4.3.0                                                npm           
ansicolors                                                                    0.3.2                                                npm           
ansistyles                                                                    0.1.3                                                npm           
aproba                                                                        1.2.0                                                npm           
aproba                                                                        2.0.0                                                npm           
apt                                                                           2.4.8                                                deb           
apt-transport-https                                                           2.4.8                                                deb           
archy                                                                         1.0.0                                                npm           
are-we-there-yet                                                              1.1.4                                                npm           
are-we-there-yet                                                              1.1.6                                                npm           
are-we-there-yet                                                              2.0.0                                                npm           
argcomplete                                                                   2.0.0                                                python        
asap                                                                          2.0.6                                                npm           
asn1                                                                          0.2.4                                                npm           
assert-plus                                                                   1.0.0                                                npm           
asynckit                                                                      0.4.0                                                npm           
attrs                                                                         22.2.0                                               python        
aws-sign2                                                                     0.7.0                                                npm           
aws4                                                                          1.8.0                                                npm           
balanced-match                                                                1.0.0                                                npm           
balanced-match                                                                1.0.2                                                npm           
base-files                                                                    12ubuntu4.2                                          deb           
base-passwd                                                                   3.5.52build1                                         deb           
bash                                                                          5.1-6ubuntu1                                         deb           
bcrypt-pbkdf                                                                  1.0.2                                                npm           
bin-links                                                                     1.1.8                                                npm           
bin-links                                                                     2.3.0                                                npm           
binary-extensions                                                             2.2.0                                                npm           
binutils                                                                      2.38-4ubuntu2.1                                      deb           
binutils-common                                                               2.38-4ubuntu2.1                                      deb           
binutils-x86-64-linux-gnu                                                     2.38-4ubuntu2.1                                      deb           
blinker                                                                       1.4                                                  python        
bluebird                                                                      3.5.5                                                npm           
boxen                                                                         1.3.0                                                npm           
brace-expansion                                                               1.1.11                                               npm           
bsdutils                                                                      1:2.37.2-4ubuntu3                                    deb           
buffer-from                                                                   1.0.0                                                npm           
build-essential                                                               12.9ubuntu3                                          deb           
buildah                                                                       1.23.1+ds1-2                                         deb           
